Year,Month,State,Primary Mode,Etiology,Etiology Status,Setting,Illnesses,Hospitalizations,Info on Hospitalizations,Deaths,Info on Deaths
2020,1,Pennsylvania,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,3,0.0,3.0,0.0,3
2020,1,Ohio,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,16,0.0,16.0,0.0,16
2020,1,Massachusetts,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,14,1.0,14.0,0.0,14
2020,1,Massachusetts,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,26,0.0,26.0,0.0,26
2020,1,Massachusetts,Person-to-person,Norovirus,Suspected,"Other, specify",5,0.0,5.0,0.0,5
2020,1,Montana,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,4,2.0,4.0,0.0,4
2020,1,Ohio,Person-to-person,Norovirus Genogroup II; Norovirus Genogroup II,Suspected; Suspected,Other healthcare facility,28,0.0,28.0,0.0,28
2020,1,Minnesota,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,38,0.0,38.0,0.0,38
2020,1,Pennsylvania,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,79,0.0,79.0,0.0,79
2020,1,Texas,Indeterminate/Other/Unknown,Norovirus unknown,Suspected,School/college/university,22,0.0,22.0,0.0,22
2020,1,Ohio,Food,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,13,0.0,13.0,0.0,13
2020,1,Ohio,Food,Norovirus Genogroup II,Confirmed,Banquet Facility (food prepared and served on-site),66,1.0,66.0,0.0,66
2020,1,Virginia,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,6,0.0,6.0,0.0,6
2020,1,Virginia,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,42,0.0,42.0,0.0,42
2020,1,Ohio,Person-to-person,Norovirus Genogroup II; Norovirus Genogroup II,Confirmed; Suspected,Long-term care/nursing home/assisted living facility,69,0.0,69.0,0.0,69
2020,1,North Carolina,Person-to-person,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,23,0.0,23.0,0.0,23
2020,1,North Carolina,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,44,3.0,44.0,0.0,44
2020,1,Minnesota,Person-to-person,Norovirus unknown,Suspected,Child day care,49,0.0,49.0,0.0,49
2020,1,Indiana,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,56,5.0,56.0,0.0,56
2020,1,Ohio,Food,Norovirus,Suspected,Caterer (food prepared off-site from where served),13,0.0,13.0,0.0,13
2020,2,Minnesota,Person-to-person,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,21,0.0,0.0,0.0,21
2020,1,Virginia,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,40,0.0,40.0,0.0,40
2020,1,Virginia,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,22,0.0,22.0,0.0,22
2020,1,Nebraska,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,15,0.0,15.0,0.0,15
2020,1,Pennsylvania,Person-to-person,Norovirus Genogroup II,Suspected,Long-term care/nursing home/assisted living facility,11,0.0,11.0,0.0,11
2020,1,Pennsylvania,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,14,0.0,14.0,0.0,14
2020,1,Pennsylvania,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,16,0.0,16.0,0.0,16
2020,1,North Carolina,Person-to-person,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,60,2.0,60.0,0.0,60
2020,1,North Carolina,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,20,0.0,20.0,0.0,20
2020,1,Virginia,Food,Norovirus Genogroup II,Confirmed,Restaurant - Sit-down dining,7,0.0,7.0,0.0,7
2020,1,Wyoming,Person-to-person,Norovirus Genogroup II,Confirmed,School/college/university,13,0.0,13.0,0.0,13
2020,1,Minnesota,Person-to-person,Norovirus Genogroup II,Suspected,Child day care,7,0.0,7.0,0.0,7
2020,1,Tennessee,Person-to-person,Norovirus Genogroup II,Suspected,Long-term care/nursing home/assisted living facility,19,0.0,19.0,0.0,19
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,12,0.0,12.0,0.0,12
2020,1,Wisconsin,Person-to-person,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,6,0.0,6.0,0.0,6
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II,Suspected,Long-term care/nursing home/assisted living facility,4,1.0,4.0,0.0,4
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,34,2.0,34.0,0.0,34
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II; Norovirus unknown,Confirmed; Suspected,Long-term care/nursing home/assisted living facility,57,0.0,57.0,0.0,57
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,44,1.0,44.0,0.0,44
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,41,0.0,41.0,0.0,41
2020,1,Pennsylvania,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,31,1.0,31.0,0.0,31
2020,1,Ohio,Animal Contact,Cryptosporidium unknown,Suspected,Farm/dairy; Private home/residence,4,0.0,4.0,0.0,4
2020,1,Ohio,Person-to-person,Norovirus,Suspected,School/college/university,6,0.0,6.0,0.0,6
2020,1,Utah,Person-to-person,Norovirus unknown,Suspected,Child day care,12,0.0,0.0,0.0,0
2020,1,Utah,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,26,3.0,3.0,0.0,0
2020,1,Vermont,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,32,0.0,32.0,0.0,32
2020,1,Virginia,Indeterminate/Other/Unknown,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,13,0.0,13.0,0.0,13
2020,1,Massachusetts,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,14,1.0,14.0,0.0,14
2020,1,Massachusetts,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,14,1.0,14.0,0.0,14
2020,1,Massachusetts,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,7,0.0,7.0,0.0,7
2020,1,Massachusetts,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,13,0.0,13.0,0.0,13
2020,1,South Carolina,Person-to-person,Sapovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,11,0.0,0.0,0.0,11
2020,1,Minnesota,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,70,1.0,42.0,1.0,70
2020,1,Indiana,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,36,0.0,36.0,0.0,36
2020,1,Indiana,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,46,0.0,46.0,0.0,46
2020,1,Ohio,Person-to-person,Norovirus Genogroup II; Norovirus Genogroup II,Suspected; Suspected,Long-term care/nursing home/assisted living facility,28,0.0,0.0,0.0,0
2020,1,Virginia,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,53,0.0,53.0,0.0,53
2020,1,Michigan,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,36,0.0,36.0,0.0,36
2020,1,Michigan,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,3,0.0,3.0,0.0,3
2020,1,Michigan,Person-to-person,Norovirus,Suspected,School/college/university,30,0.0,30.0,0.0,30
2020,1,Michigan,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,35,1.0,35.0,0.0,35
2020,1,Michigan,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,2,0.0,2.0,0.0,2
2020,1,Michigan,Person-to-person,Norovirus,Suspected,Restaurant,4,0.0,4.0,0.0,4
2020,1,Michigan,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,16,0.0,16.0,0.0,16
2020,1,Michigan,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,17,1.0,17.0,0.0,17
2020,1,Michigan,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,8,0.0,8.0,0.0,8
2020,1,Indiana,Person-to-person,Norovirus,Suspected,"Other, specify",11,0.0,11.0,0.0,11
2020,1,Minnesota,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,37,1.0,37.0,0.0,37
2020,1,Minnesota,Person-to-person,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,61,4.0,61.0,0.0,61
2020,1,Alabama,Person-to-person,Clostridium difficile,Suspected,Long-term care/nursing home/assisted living facility,6,5.0,6.0,0.0,6
2020,1,Connecticut,Person-to-person,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,35,1.0,12.0,0.0,12
2020,1,Wyoming,Person-to-person,Norovirus unknown,Confirmed,Hospital,15,2.0,15.0,0.0,15
2020,1,North Carolina,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,26,0.0,26.0,0.0,26
2020,1,Virginia,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,27,0.0,27.0,0.0,27
2020,1,Virginia,Food,Norovirus Genogroup II,Confirmed,Restaurant - other or unknown type,2,0.0,2.0,0.0,2
2020,1,Virginia,Food,Norovirus Genogroup II,Confirmed,Restaurant - other or unknown type,2,0.0,2.0,0.0,2
2020,1,Wisconsin,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,18,2.0,18.0,1.0,18
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II,Suspected,Long-term care/nursing home/assisted living facility,32,0.0,32.0,0.0,32
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,41,6.0,41.0,0.0,41
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,32,0.0,32.0,0.0,32
2020,1,Wisconsin,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,10,0.0,10.0,0.0,10
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,52,0.0,52.0,0.0,52
2020,1,Wisconsin,Food,Norovirus Genogroup II,Confirmed,Grocery store,32,0.0,32.0,0.0,32
2020,1,Wisconsin,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,5,0.0,5.0,0.0,5
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II; Norovirus unknown,Suspected; Suspected,Long-term care/nursing home/assisted living facility,30,4.0,30.0,0.0,30
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,9,1.0,9.0,0.0,9
2020,1,Wisconsin,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,6,0.0,6.0,0.0,6
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II; Clostridium difficile,Confirmed; Confirmed,Long-term care/nursing home/assisted living facility,30,0.0,30.0,0.0,30
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II,Suspected,Long-term care/nursing home/assisted living facility,29,2.0,29.0,0.0,29
2020,1,Alabama,Indeterminate/Other/Unknown,Clostridium difficile,Confirmed,Long-term care/nursing home/assisted living facility,5,0.0,5.0,0.0,5
2020,1,Minnesota,Person-to-person,Norovirus unknown,Suspected,Child day care,12,0.0,12.0,0.0,12
2020,1,Florida,Food,Plant/Herbal toxins,Suspected,Private home/residence,7,0.0,7.0,0.0,7
2020,1,Connecticut,Food,Norovirus Genogroup II,Confirmed,Restaurant - Sit-down dining,11,0.0,11.0,0.0,11
2020,1,Oregon,Food,Campylobacter,Suspected,Restaurant - Sit-down dining,2,0.0,2.0,0.0,2
2020,1,Minnesota,Indeterminate/Other/Unknown,Norovirus unknown,Suspected,Hotel/motel,11,0.0,11.0,0.0,11
2020,1,South Carolina,Person-to-person,Norovirus unknown,Suspected,School/college/university,12,0.0,12.0,0.0,12
2020,1,Indiana,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,5,0.0,5.0,0.0,5
2020,1,Indiana,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,16,0.0,16.0,0.0,16
2020,1,Minnesota,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,12,0.0,12.0,0.0,12
2020,1,Pennsylvania,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,34,0.0,34.0,0.0,34
2020,1,Connecticut,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,82,1.0,31.0,3.0,31
2020,1,North Carolina,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,71,3.0,71.0,0.0,71
2020,1,Ohio,Person-to-person,Norovirus,Suspected,Restaurant,8,0.0,8.0,0.0,8
2020,1,Ohio,Person-to-person,Norovirus Genogroup II; Norovirus Genogroup II,Confirmed; Suspected,Long-term care/nursing home/assisted living facility,8,0.0,8.0,0.0,8
2020,1,Virginia,Food,Norovirus Genogroup II,Suspected,Restaurant - Sit-down dining,4,0.0,4.0,0.0,4
2020,1,Wyoming,Person-to-person,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,28,0.0,28.0,0.0,28
2020,1,Utah,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,15,0.0,15.0,0.0,15
2020,1,North Carolina,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,28,0.0,28.0,0.0,28
2020,1,Pennsylvania,Person-to-person,Norovirus unknown,Suspected,Other healthcare facility,7,0.0,0.0,0.0,0
2020,1,Pennsylvania,Person-to-person,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,84,0.0,84.0,0.0,84
2020,1,Minnesota,Food,Norovirus Genogroup I,Suspected,Restaurant - Sit-down dining,19,0.0,19.0,0.0,19
2020,1,Washington,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,38,0.0,0.0,0.0,0
2020,1,New Mexico,Food,Salmonella enterica,Confirmed,Restaurant - Buffet,18,2.0,18.0,0.0,10
2020,1,Virginia,Person-to-person,Norovirus,Suspected,School/college/university,12,0.0,12.0,0.0,12
2020,1,Virginia,Food,Norovirus Genogroup II; Norovirus Genogroup II,Suspected; Suspected,Restaurant - Sit-down dining,3,0.0,3.0,0.0,3
2020,1,Massachusetts,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,33,0.0,33.0,0.0,33
2020,1,Massachusetts,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,12,0.0,12.0,0.0,12
2020,1,Massachusetts,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,9,0.0,9.0,0.0,9
2020,1,Massachusetts,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,30,0.0,30.0,0.0,30
2020,1,Massachusetts,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,16,0.0,16.0,0.0,16
2020,1,Minnesota,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,57,0.0,57.0,0.0,57
2020,1,Minnesota,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,47,0.0,47.0,1.0,47
2020,1,Minnesota,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,31,6.0,31.0,0.0,31
2020,1,Minnesota,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,42,0.0,42.0,0.0,42
2020,1,Utah,Animal Contact,Cryptosporidium unknown,Confirmed,Veterinary clinic,3,0.0,2.0,0.0,2
2020,1,Virginia,Indeterminate/Other/Unknown,Norovirus,Suspected,Restaurant,2,0.0,0.0,0.0,0
2020,1,Alabama,Indeterminate/Other/Unknown,Shigella sonnei,Confirmed,Child day care,31,1.0,31.0,0.0,31
2020,1,Indiana,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,24,0.0,24.0,0.0,24
2020,1,Ohio,Person-to-person,Norovirus Genogroup II,Suspected,Long-term care/nursing home/assisted living facility,34,0.0,34.0,0.0,34
2020,1,South Carolina,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,44,0.0,15.0,0.0,15
2020,1,New Mexico,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,5,2.0,5.0,0.0,5
2020,1,Virginia,Indeterminate/Other/Unknown,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,39,0.0,39.0,0.0,39
2020,1,Wisconsin,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,22,3.0,22.0,0.0,22
2020,1,Wisconsin,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,7,0.0,7.0,0.0,7
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,15,2.0,15.0,0.0,15
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,13,0.0,0.0,0.0,0
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,20,0.0,20.0,0.0,20
2020,1,Nebraska,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,52,3.0,52.0,0.0,52
2020,1,Connecticut,Person-to-person,Norovirus unknown; Clostridium difficile,Confirmed; Confirmed,Long-term care/nursing home/assisted living facility,27,3.0,16.0,0.0,16
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,38,0.0,38.0,0.0,38
2020,1,Wisconsin,Indeterminate/Other/Unknown,Salmonella enterica,Confirmed,Child day care,4,0.0,4.0,0.0,4
2020,1,Virginia,Person-to-person,Norovirus Genogroup II; Norovirus Genogroup II; Norovirus Genogroup II,Confirmed; Suspected; Suspected,Long-term care/nursing home/assisted living facility,43,0.0,43.0,0.0,43
2020,1,Virginia,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,26,0.0,26.0,0.0,26
2020,1,Indiana,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,71,1.0,71.0,0.0,71
2020,1,Indiana,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,30,0.0,30.0,0.0,30
2020,1,Minnesota,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,29,2.0,23.0,0.0,29
2020,1,Connecticut,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,6,0.0,4.0,0.0,4
2020,2,Ohio,Food,Norovirus,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,0.0,3.0,0.0,3
2020,2,Virginia,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,44,1.0,44.0,0.0,44
2020,1,Virginia,Food,Norovirus Genogroup I,Suspected,Restaurant - Sit-down dining,6,0.0,6.0,0.0,6
2020,1,Ohio,Person-to-person,Norovirus Genogroup II,Suspected,Long-term care/nursing home/assisted living facility,29,2.0,29.0,0.0,29
2020,2,South Carolina,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,15,0.0,15.0,0.0,15
2020,2,Minnesota,Food,Norovirus Genogroup II,Suspected,Restaurant - Sit-down dining,11,0.0,11.0,0.0,11
2020,1,Massachusetts,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,7,0.0,7.0,0.0,7
2020,1,Connecticut,Person-to-person,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,40,0.0,23.0,0.0,23
2020,1,Indiana,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,7,0.0,7.0,0.0,7
2020,1,Utah,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,24,0.0,24.0,0.0,24
2020,2,Nebraska,Indeterminate/Other/Unknown,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,16,1.0,16.0,0.0,16
2020,1,Ohio,Indeterminate/Other/Unknown,Norovirus Genogroup II; Norovirus Genogroup II; Norovirus Genogroup II,Suspected; Suspected; Suspected,Long-term care/nursing home/assisted living facility,5,0.0,5.0,0.0,5
2020,1,Kentucky,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,24,3.0,24.0,0.0,24
2020,1,North Carolina,Person-to-person,Norovirus unknown,Confirmed,Hospital,43,24.0,43.0,0.0,43
2020,1,Indiana,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,2,1.0,2.0,0.0,2
2020,1,New Hampshire,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,12,0.0,12.0,0.0,12
2020,1,New Hampshire,Food,Norovirus Genogroup I,Confirmed,Restaurant - Sit-down dining,19,0.0,10.0,0.0,19
2020,1,Michigan,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,50,0.0,50.0,1.0,50
2020,1,Michigan,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,11,0.0,11.0,0.0,11
2020,1,Indiana,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,35,0.0,35.0,0.0,35
2020,1,Michigan,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,28,0.0,28.0,0.0,28
2020,1,Michigan,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,19,0.0,19.0,0.0,19
2020,2,Florida,Food,Bacillus cereus,Suspected,Restaurant - Sit-down dining,8,0.0,8.0,0.0,8
2020,1,Indiana,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,65,0.0,65.0,0.0,65
2020,1,Indiana,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,25,0.0,25.0,0.0,25
