Year,Month,State,Primary Mode,Etiology,Serotype or Genotype,Etiology Status,Setting,Illnesses,Hospitalizations,Info on Hospitalizations,Deaths,Info on Deaths,Food Vehicle,Food Contaminated Ingredient,IFSAC Category,Water Exposure,Water Type,Animal Type,Animal Type Specify,Water Status
2020,1,Tennessee,Person-to-person,Norovirus Genogroup II,GII.P16 - GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,11,,0,,0,,,,,,,,
2020,1,Virginia,Indeterminate/Other/Unknown,Norovirus Genogroup II; Norovirus Genogroup II,GII.P4 New Orleans - GII.4 untypeable; unknown,Confirmed; Suspected,Long-term care/nursing home/assisted living facility,11,0,11,0,11,,,,,,,,
2020,1,Alabama,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,13,0,13,0,13,,,,,,,,
2020,1,Virginia,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,16,0,16,0,16,,,,,,,,
2020,1,Virginia,Food,Norovirus Genogroup II,GII.P16 - ,Confirmed,Restaurant - Sit-down dining,3,0,0,0,0,raw oysters,"oysters, raw",Mollusks,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,39,3,39,0,39,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus Genogroup II,GII.P7 - GII.6,Confirmed,Child day care,14,0,14,0,14,,,,,,,,
2020,1,New York,Indeterminate/Other/Unknown,,,,Private home/residence,3,0,3,0,3,,,,,,,,
2020,1,Ohio,Person-to-person,Norovirus Genogroup II; Norovirus Genogroup II,GII.P16 - GII.4 Sydney; unknown,Confirmed; Confirmed,Long-term care/nursing home/assisted living facility,14,2,14,0,14,,,,,,,,
2020,1,Pennsylvania,Person-to-person,,,,Long-term care/nursing home/assisted living facility,36,0,36,0,36,,,,,,,,
2020,1,Michigan,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,8,2,8,0,8,,,,,,,,
2020,1,Michigan,Person-to-person,Norovirus Genogroup I,GI.P1 - GI.1,Confirmed,Long-term care/nursing home/assisted living facility,33,0,33,0,33,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,9,,0,,0,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,5,1,1,,0,,,,,,,,
2020,1,Virginia,Indeterminate/Other/Unknown,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,15,0,15,0,15,,,,,,,,
2020,1,Minnesota,Food,Norovirus Genogroup II,GII.P16 - ,Confirmed,Restaurant - Sit-down dining,8,0,8,0,8,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,43,,0,,0,,,,,,,,
2020,1,Ohio,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,24,0,24,0,24,,,,,,,,
2020,1,Iowa,Person-to-person,Norovirus Genogroup II,unknown - unknown,Confirmed,Long-term care/nursing home/assisted living facility,37,0,37,0,37,,,,,,,,
2020,1,Iowa,Person-to-person,Norovirus Genogroup II,unknown - ,Confirmed,Long-term care/nursing home/assisted living facility,52,0,52,0,52,,,,,,,,
2020,1,Iowa,Person-to-person,Norovirus Genogroup II,GII.P16 - GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,55,0,4,0,4,,,,,,,,
2020,1,Wisconsin,Food,Norovirus Genogroup I,GI.P3 - GI.3,Confirmed,Restaurant - Sit-down dining,10,0,10,0,10,,,,,,,,
2020,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,49,0,49,0,49,,,,,,,,
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II,,Suspected,Long-term care/nursing home/assisted living facility,5,0,4,0,4,,,,,,,,
2020,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,24,0,24,0,24,,,,,,,,
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II; Norovirus unknown,GII.P16 - GII.4 Sydney; ,Confirmed; Suspected,School/college/university,58,0,58,0,58,,,,,,,,
2020,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,5,0,5,0,5,,,,,,,,
2020,1,Nebraska,Person-to-person,Norovirus Genogroup II,GII.P12 - GII.3,Confirmed,Child day care,48,0,48,0,48,,,,,,,,
2020,1,Nebraska,Person-to-person,Norovirus Genogroup II,GII.P16 - GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,56,3,56,0,56,,,,,,,,
2020,1,Nebraska,Indeterminate/Other/Unknown,,,,Long-term care/nursing home/assisted living facility,15,0,15,0,15,,,,,,,,
2020,1,Pennsylvania,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,3,0,3,0,3,,,,,,,,
2020,1,Alabama,Indeterminate/Other/Unknown,,,,Restaurant,4,0,4,0,4,,,,,,,,
2020,1,Ohio,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,16,0,16,0,16,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,58,,0,0,58,,,,,,,,
2020,1,Massachusetts,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,14,1,14,0,14,,,,,,,,
2020,1,Massachusetts,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,26,0,26,0,26,,,,,,,,
2020,1,Massachusetts,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,28,,0,,0,,,,,,,,
2020,1,Massachusetts,Person-to-person,Norovirus,,Suspected,"Other, specify",5,0,5,0,5,,,,,,,,
2020,1,Montana,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,4,2,4,0,4,,,,,,,,
2020,1,Ohio,Person-to-person,Norovirus Genogroup II; Norovirus Genogroup II,GII.P8 - GII.8; unknown,Suspected; Suspected,Other healthcare facility,28,0,28,0,28,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,38,0,38,0,38,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,22,,0,0,22,,,,,,,,
2020,1,Pennsylvania,Person-to-person,Norovirus Genogroup II,unknown - unknown,Confirmed,Long-term care/nursing home/assisted living facility,79,0,79,0,79,,,,,,,,
2020,1,Texas,Indeterminate/Other/Unknown,Norovirus unknown,,Suspected,School/college/university,22,0,22,0,22,,,,,,,,
2020,1,Ohio,Food,Norovirus Genogroup II,GII.P16 - GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,13,0,13,0,13,,,,,,,,
2020,1,Ohio,Food,Norovirus Genogroup II,GII.P16 - GII.4 Sydney,Confirmed,Banquet Facility (food prepared and served on-site),66,1,66,0,66,ice,,Other,,,,,
2020,1,Virginia,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,6,0,6,0,6,,,,,,,,
2020,1,Virginia,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,42,0,42,0,42,,,,,,,,
2020,1,Ohio,Person-to-person,Norovirus Genogroup II; Norovirus Genogroup II,GII.P16 - GII.4 Sydney; unknown,Confirmed; Suspected,Long-term care/nursing home/assisted living facility,69,0,69,0,69,,,,,,,,
2020,1,North Carolina,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,23,0,23,0,23,,,,,,,,
2020,1,North Carolina,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,44,3,44,0,44,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Suspected,Child day care,49,0,49,0,49,,,,,,,,
2020,1,Indiana,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,56,5,56,0,56,,,,,,,,
2020,1,Ohio,Food,Norovirus,,Suspected,Caterer (food prepared off-site from where served),13,0,13,0,13,,,,,,,,
2020,2,Minnesota,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,21,0,0,0,21,,,,,,,,
2020,1,Alabama,Indeterminate/Other/Unknown,,,,Restaurant,2,0,0,0,0,,,,,,,,
2020,1,Virginia,Person-to-person,Norovirus Genogroup II,GII.P16 - GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,40,0,40,0,40,,,,,,,,
2020,1,Virginia,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,22,0,22,0,22,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Suspected,School/college/university,5,,0,,0,,,,,,,,
2020,1,Nebraska,Person-to-person,Norovirus Genogroup II,GII.P16 - GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,15,0,15,0,15,,,,,,,,
2020,1,Ohio,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,5,,0,,0,,,,,,,,
2020,1,Pennsylvania,Person-to-person,Norovirus Genogroup II,unknown - unknown,Suspected,Long-term care/nursing home/assisted living facility,11,0,11,0,11,,,,,,,,
2020,1,Pennsylvania,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,14,0,14,0,14,,,,,,,,
2020,1,Pennsylvania,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,16,0,16,0,16,,,,,,,,
2020,1,North Carolina,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,60,2,60,0,60,,,,,,,,
2020,1,North Carolina,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,20,0,20,0,20,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Suspected,Hospital,19,,0,0,19,,,,,,,,
2020,1,Alabama,Person-to-person,,,,Long-term care/nursing home/assisted living facility,7,0,7,0,7,,,,,,,,
2020,1,Virginia,Food,Norovirus Genogroup II,unknown - unknown,Confirmed,Restaurant - Sit-down dining,7,0,7,0,7,"oysters, raw; oysters, baked; hush puppies",,Mollusks,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,19,,0,,0,,,,,,,,
2020,1,Wyoming,Person-to-person,Norovirus Genogroup II,GII.P untypeable - GII.6,Confirmed,School/college/university,13,0,13,0,13,,,,,,,,
2020,1,Montana,Person-to-person,,,,Long-term care/nursing home/assisted living facility,5,0,5,0,5,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus Genogroup II,GII.P7 - GII.6,Suspected,Child day care,7,0,7,0,7,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Suspected,School/college/university,35,,0,,0,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,83,,0,,0,,,,,,,,
2020,1,Tennessee,Person-to-person,Norovirus Genogroup II,GII.P16 - GII.4 Sydney,Suspected,Long-term care/nursing home/assisted living facility,19,0,19,0,19,,,,,,,,
2020,1,Wisconsin,Indeterminate/Other/Unknown,,,,Long-term care/nursing home/assisted living facility,18,0,0,0,0,,,,,,,,
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 - GII.2,Confirmed,Long-term care/nursing home/assisted living facility,12,0,12,0,12,,,,,,,,
2020,1,Wisconsin,Indeterminate/Other/Unknown,,,,Long-term care/nursing home/assisted living facility,42,0,0,0,0,,,,,,,,
2020,1,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,6,0,6,0,6,,,,,,,,
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II,,Suspected,Long-term care/nursing home/assisted living facility,4,1,4,0,4,,,,,,,,
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 - GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,34,2,34,0,34,,,,,,,,
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II; Norovirus unknown,GII.P16 - GII.4 Sydney; ,Confirmed; Suspected,Long-term care/nursing home/assisted living facility,57,0,57,0,57,,,,,,,,
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 - GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,44,1,44,0,44,,,,,,,,
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 - GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,41,0,41,0,41,,,,,,,,
2020,1,Pennsylvania,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,31,1,31,0,31,,,,,,,,
2020,1,Ohio,Animal Contact,Cryptosporidium unknown,,Suspected,Farm/dairy; Private home/residence,4,0,4,0,4,,,,,,Cattle,Calves,
2020,1,Ohio,Person-to-person,Norovirus,,Suspected,School/college/university,6,0,6,0,6,,,,,,,,
2020,1,Utah,Person-to-person,Norovirus unknown,,Suspected,Child day care,12,0,0,0,0,,,,,,,,
2020,1,Utah,Person-to-person,Norovirus Genogroup II,GII.P16 - GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,26,3,3,0,0,,,,,,,,
2020,1,Vermont,Person-to-person,Norovirus Genogroup II,unknown - unknown,Confirmed,Long-term care/nursing home/assisted living facility,32,0,32,0,32,,,,,,,,
2020,1,Virginia,Indeterminate/Other/Unknown,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,13,0,13,0,13,,,,,,,,
2020,1,Massachusetts,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,36,10,36,,0,,,,,,,,
2020,1,Massachusetts,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,14,1,14,0,14,,,,,,,,
2020,1,Massachusetts,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,14,1,14,0,14,,,,,,,,
2020,1,Massachusetts,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,31,,0,,0,,,,,,,,
2020,1,Massachusetts,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,8,,0,0,8,,,,,,,,
2020,1,Massachusetts,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,7,0,7,0,7,,,,,,,,
2020,1,Massachusetts,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,13,0,13,0,13,,,,,,,,
2020,1,Massachusetts,Person-to-person,Norovirus,,Suspected,School/college/university,114,,0,,0,,,,,,,,
2020,1,North Carolina,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,9,,0,,0,,,,,,,,
2020,1,North Carolina,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,27,,0,,0,,,,,,,,
2020,1,South Carolina,Person-to-person,Sapovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,11,0,0,0,11,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,31,,0,0,31,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,10,,0,,0,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,10,1,10,,0,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,70,1,42,1,70,,,,,,,,
2020,1,Indiana,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,36,0,36,0,36,,,,,,,,
2020,1,Indiana,Person-to-person,Norovirus Genogroup II,unknown - unknown,Confirmed,Long-term care/nursing home/assisted living facility,46,0,46,0,46,,,,,,,,
2020,1,Ohio,Person-to-person,Norovirus Genogroup II; Norovirus Genogroup II,GII.P16 - GII.4 Sydney; unknown,Suspected; Suspected,Long-term care/nursing home/assisted living facility,28,0,0,0,0,,,,,,,,
2020,1,Virginia,Person-to-person,Norovirus Genogroup II,GII.P16 - GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,53,0,53,0,53,,,,,,,,
2020,1,Michigan,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,36,0,36,0,36,,,,,,,,
2020,1,Michigan,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,3,0,3,0,3,,,,,,,,
2020,1,Michigan,Person-to-person,Norovirus,,Suspected,School/college/university,30,0,30,0,30,,,,,,,,
2020,1,Michigan,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,35,1,35,0,35,,,,,,,,
2020,1,Michigan,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,2,0,2,0,2,,,,,,,,
2020,1,Michigan,Person-to-person,Norovirus,,Suspected,Restaurant,4,0,4,0,4,,,,,,,,
2020,1,Tennessee,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,6,,0,,0,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus Genogroup II,GII.P16 - GII.4 Sydney,Suspected,Long-term care/nursing home/assisted living facility,19,,0,0,19,,,,,,,,
2020,1,Michigan,Person-to-person,Norovirus Genogroup II,GII.P16 - GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,16,0,16,0,16,,,,,,,,
2020,1,Michigan,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,17,1,17,0,17,,,,,,,,
2020,1,Michigan,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,8,0,8,0,8,,,,,,,,
2020,1,Indiana,Person-to-person,Norovirus,,Suspected,"Other, specify",11,0,11,0,11,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,37,1,37,0,37,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,47,,0,0,47,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,61,4,61,0,61,,,,,,,,
2020,1,North Carolina,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,17,,0,,0,,,,,,,,
2020,1,North Carolina,Person-to-person,Norovirus Genogroup II; Norovirus Genogroup II,GII.P16 - GII.4 Sydney; unknown,Confirmed; Suspected,Long-term care/nursing home/assisted living facility,9,,0,,0,,,,,,,,
2020,1,Ohio,Person-to-person,Norovirus Genogroup II,GII.P16 - GII.4 Sydney,Suspected,Long-term care/nursing home/assisted living facility,10,,0,,0,,,,,,,,
2020,1,Alabama,Person-to-person,Clostridium difficile,,Suspected,Long-term care/nursing home/assisted living facility,6,5,6,0,6,,,,,,,,
2020,1,Alabama,Indeterminate/Other/Unknown,,,,School/college/university,12,0,12,0,12,,,,,,,,
2020,1,Connecticut,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,35,1,12,0,12,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,11,,0,,0,,,,,,,,
2020,1,Nevada,Indeterminate/Other/Unknown,,,,Child day care,9,0,9,0,9,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Suspected,School/college/university,20,,0,,0,,,,,,,,
2020,1,Ohio,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,12,,0,,0,,,,,,,,
2020,1,Wyoming,Person-to-person,Norovirus unknown,,Confirmed,Hospital,15,2,15,0,15,,,,,,,,
2020,1,North Carolina,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,26,0,26,0,26,,,,,,,,
2020,1,North Carolina,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,16,,0,,0,,,,,,,,
2020,1,Virginia,Person-to-person,Norovirus Genogroup II,GII.P16 - GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,27,0,27,0,27,,,,,,,,
2020,1,Virginia,Food,Norovirus Genogroup II,unknown - unknown,Confirmed,Restaurant - other or unknown type,2,0,2,0,2,"oysters, raw",,Mollusks,,,,,
2020,1,Virginia,Food,Norovirus Genogroup II,GII.P16 - GII.12,Confirmed,Restaurant - other or unknown type,2,0,2,0,2,"oysters, raw",,Mollusks,,,,,
2020,1,Connecticut,Person-to-person,,,,Long-term care/nursing home/assisted living facility,30,0,16,0,16,,,,,,,,
2020,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,18,2,18,1,18,,,,,,,,
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 - GII.4 Sydney,Suspected,Long-term care/nursing home/assisted living facility,32,0,32,0,32,,,,,,,,
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P untypeable - GII.4 untypeable,Confirmed,Long-term care/nursing home/assisted living facility,41,6,41,0,41,,,,,,,,
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,32,0,32,0,32,,,,,,,,
2020,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,10,0,10,0,10,,,,,,,,
2020,1,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,6,0,6,0,6,,,,,,,,
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P17 - GII.17,Confirmed,Long-term care/nursing home/assisted living facility,52,0,52,0,52,,,,,,,,
2020,1,Wisconsin,Food,Norovirus Genogroup II,GII.P7 - GII.6,Confirmed,Grocery store,32,0,32,0,32,"sandwich, submarine",,Multiple,,,,,
2020,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,5,0,5,0,5,,,,,,,,
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II; Norovirus unknown,GII.P16 - GII.4 Sydney; ,Suspected; Suspected,Long-term care/nursing home/assisted living facility,30,4,30,0,30,,,,,,,,
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,9,1,9,0,9,,,,,,,,
2020,1,Wisconsin,Indeterminate/Other/Unknown,,,,Long-term care/nursing home/assisted living facility,23,0,0,0,0,,,,,,,,
2020,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,6,0,6,0,6,,,,,,,,
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II; Clostridium difficile,unknown; ,Confirmed; Confirmed,Long-term care/nursing home/assisted living facility,30,0,30,0,30,,,,,,,,
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II,,Suspected,Long-term care/nursing home/assisted living facility,29,2,29,0,29,,,,,,,,
2020,1,Alabama,Indeterminate/Other/Unknown,Clostridium difficile,,Confirmed,Long-term care/nursing home/assisted living facility,5,0,5,0,5,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Suspected,Child day care,12,0,12,0,12,,,,,,,,
2020,1,Florida,Food,Plant/Herbal toxins,,Suspected,Private home/residence,7,0,7,0,7,,,,,,,,
2020,1,Connecticut,Food,Norovirus Genogroup II,unknown,Confirmed,Restaurant - Sit-down dining,11,0,11,0,11,,,,,,,,
2020,1,Oregon,Food,Campylobacter,,Suspected,Restaurant - Sit-down dining,2,0,2,0,2,,,,,,,,
2020,1,Minnesota,Indeterminate/Other/Unknown,Norovirus unknown,,Suspected,Hotel/motel,11,0,11,0,11,,,,,,,,
2020,1,South Carolina,Person-to-person,Norovirus unknown,,Suspected,School/college/university,12,0,12,0,12,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,4,,0,,0,,,,,,,,
2020,1,Indiana,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,5,0,5,0,5,,,,,,,,
2020,1,Indiana,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,16,0,16,0,16,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,32,,0,1,32,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,12,0,12,0,12,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,5,,0,,0,,,,,,,,
2020,1,Pennsylvania,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,34,0,34,0,34,,,,,,,,
2020,1,Connecticut,Person-to-person,Norovirus Genogroup II,unknown - unknown,Confirmed,Long-term care/nursing home/assisted living facility,82,1,31,3,31,,,,,,,,
2020,1,Oregon,Food,,,,Restaurant - other or unknown type,18,0,18,0,18,,,,,,,,
2020,1,North Carolina,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,71,3,71,0,71,,,,,,,,
